conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1939391190941708499,Sun Jun 29 18:31:06 +0000 2025,0,realizing klo ak masuk arsi kynya aku bakal bunuh diri aja deh like ‍️‍,1939391190941708499,,,in,,0,0,0,https://x.com/undefined/status/1939391190941708499,1500638334778961921,
1939380592812159036,Sun Jun 29 17:48:59 +0000 2025,0,Tamu Hotel Santika Padang Tewas Polisi Duga Bunuh Diri https://t.co/ZafFnbwd5S lewat @SatankMKR,1939380592812159036,,,in,,0,0,0,https://x.com/undefined/status/1939380592812159036,1391283446,
1939379115574136994,Sun Jun 29 17:43:07 +0000 2025,0,Tomas Aviles bek Argentina usia 21 tahun yg main di inter Miami melakukan gol bunuh diri lawan PSG. Dia ga pernah dipanggil timnas Argentina sama sekali soalnya bukan pemain bagus . Kalau dia bagus ya ga bakal main di MLS anjir Uda pasti main di eropa kek allister Enzo Alvarez,1939379115574136994,,,in,,0,0,0,https://x.com/undefined/status/1939379115574136994,1122918899786248192,
1939364071868146017,Sun Jun 29 17:27:53 +0000 2025,0,@leobiey kenapa ngambek woy yank?apa?kenapa ngambekha?ya orang dikatain terus ya kenapa?kan aku pengen jbjb ya masa ga boleh asbun sih yaallah apa siywdah jawab dulu anj lama bunuh diri gwstres anying,1939375280382173237,,leobiey,in,,0,0,0,https://x.com/undefined/status/1939375280382173237,1266801272817999872,
1939347038774464842,Sun Jun 29 17:22:56 +0000 2025,0,@thejurgenholic Messi golin bunuh diri,1939374033579249886,,thejurgenholic,in,,0,0,0,https://x.com/undefined/status/1939374033579249886,1895303622998794242,
1939297973659484620,Sun Jun 29 12:20:41 +0000 2025,0,kisah DP tersedih dipegang sama jang nina kayak dia mati dalam keadaan berjuang buat mimpinya berjuang buat ga balik lagi ke tempat gelap tanpa mikirin balas dendam atau mikirin buat bunuh diri,1939297973659484620,,,in,,0,1,0,https://x.com/undefined/status/1939297973659484620,1701917650010734592,
1938897429534839186,Sun Jun 29 11:54:07 +0000 2025,0,@moviemnfs ending nya malah bunuh diri demi bayi hadeeehh,1939291285195812918,,moviemnfs,in,,0,0,0,https://x.com/undefined/status/1939291285195812918,1896417709904248832,
1939289868506706036,Sun Jun 29 11:50:45 +0000 2025,0,orang orang nganggap aku anak yg baik karena rank 1 disekolah pendiam dan rajin sholat padahal....... yg pernah ngalamin ini &amp; udah berhasil keluar dari zona ini kasi aku caranya dong+aku tertarik sama sesama jenis tolong aku Kadang pikiran ku buat bunuh diri itu slalu ada,1939290437770162321,,RyuSarang191112,in,,0,0,0,https://x.com/undefined/status/1939290437770162321,1852555176378548224,
1939289793919365228,Sun Jun 29 11:48:14 +0000 2025,21,Luvre dicegat dijalan ampe mami nyamperin dan bawa sapu mau mukulin itu cewe. Dia juga berulang kali ngancem bunuh diri paling epic saat luvre harus mimpin rapat organisasi karna semua orang liat. Termasuk satu wakil rektor yang kebetulan pembina organisasi itu.,1939289803989905479,,estehzegarenax,in,,1,0,0,https://x.com/undefined/status/1939289803989905479,1769325403368570880,
1939285222866219287,Sun Jun 29 11:46:20 +0000 2025,0,GUA GASUKA KARENA DISINI LULLABY-NYA KETARA JELAS SI MULAI DARI FLAME REAVER KYK??? Headcanon humming dari dia (bunuh diri) https://t.co/MSZiDyYrNW,1939289325394624728,https://pbs.twimg.com/media/Gum9XMcW4AAPxKw.jpg,odeeeetty,in,,0,1,0,https://x.com/undefined/status/1939289325394624728,1575827425283706880,
1939287827461841037,Sun Jun 29 11:40:22 +0000 2025,0,Jangan buru-buru open posisi. ⏳ Lihat dulu arah trend di time frame besar. Entry tanpa arah = bunuh diri modal. #BybitIndonesia,1939287827461841037,,,in,,0,0,0,https://x.com/undefined/status/1939287827461841037,903730254,
1939286671830450179,Sun Jun 29 11:35:47 +0000 2025,0,Di tengah meningkatnya ketegangan antara Iran dan Israel selama 12 hari Irak turut menjadi sasaran serangan pesawat nirawak (drone) bunuh diri atau kamikaze pada Selasa (24/6/2025). / #Irak #Iran #Israel https://t.co/wF2XpshbI3,1939286671830450179,,,in,,0,1,1,https://x.com/undefined/status/1939286671830450179,23343960,
1937162808136999102,Sun Jun 29 11:30:13 +0000 2025,0,@Bluecannon_ i have no friends irl pengen bunuh diri aja rasanya setiap hari. setiap malam cuma bisa nangis sambil self harm.,1939285273034334392,,Bluecannon_,in,,0,0,0,https://x.com/undefined/status/1939285273034334392,65834001,
1938824686588101082,Sun Jun 29 11:26:59 +0000 2025,29,@makinkayaaja @ARSIPAJA Pajakin 100 orang terkaya??? BUNUH DIRI KAMPANYE NYA Perang terbuka sama Oligarki itu namanya,1939284457812553925,,makinkayaaja,in,,0,1,0,https://x.com/undefined/status/1939284457812553925,1501224907689975812,
1939282274459308381,Sun Jun 29 11:18:22 +0000 2025,5,3. Rommel hormat tawanan tak buat kejam. Malah dia terlibat dalam komplot rahsia nak jatuhkan Hitler. Akhirnya bila komplot tu kantoi Hitler bagi dia dua pilihan: Bunuh diri atau keluarga dia dihukum mati. Rommel pilih untuk tamatkan hidupnya demi lindungi keluarganya. https://t.co/GxY0xHJFHU,1939282289361559787,https://pbs.twimg.com/media/Gum0lpxWkAAUyiQ.jpg,FakhryHarraz_,in,,0,1,0,https://x.com/undefined/status/1939282289361559787,1383896743973048321,
1938732855971938399,Sun Jun 29 11:08:11 +0000 2025,0,@raisa_enggres @18fesss sekarang orang bodoh mana yang mau bunuh diri cmn karena utang bang? lagian bank bodoh mana yang ngasi pinjeman ke orang yang mau bunuh diri?,1939279725106794738,,raisa_enggres,in,,0,0,0,https://x.com/undefined/status/1939279725106794738,1130722098249252864,
1939271873583612084,Sun Jun 29 10:36:59 +0000 2025,5,tutorial bunuh diri https://t.co/CvtYUgNS1q,1939271873583612084,https://pbs.twimg.com/media/GumtfDCWAAAn_Rm.jpg,,in,,0,2,0,https://x.com/undefined/status/1939271873583612084,3222262638,
1939230376637210958,Sun Jun 29 10:18:34 +0000 2025,0,@creepyroom Di medan ada mall yg sering kali dibikin buat bunuh diri sama orang sampe akhirnya pinggirannya dipasangin jaring besar.,1939267238965703157,,creepyroom,in,,0,0,0,https://x.com/undefined/status/1939267238965703157,1794183050080944128,
1939262119163408443,Sun Jun 29 10:16:18 +0000 2025,1,@fllouqiiss meninggal bunuh diri karna cemburu,1939266668674589107,,fllouqiiss,in,,0,0,0,https://x.com/undefined/status/1939266668674589107,1849036319114346496,
1815007209413386614,Sun Jun 29 10:13:57 +0000 2025,0,@martabakismissu MAU BUNUH DIRI TAPI TAKUT MATI ,1939266076619247845,,martabakismissu,in,,0,0,0,https://x.com/undefined/status/1939266076619247845,60640814,
1939263594547540405,Sun Jun 29 10:04:05 +0000 2025,0,Gw tdi mimpi kek lgi di Hunger Games sisa kek 6 orangan tba2 ada dinosaurawrrr ngejar yunowlah mimpi kerasa real bnget bjirr keknya gw brakhir bunuh diri loncat dri tebing dah dripda dikunyah dino,1939263594547540405,,,in,,0,3,0,https://x.com/undefined/status/1939263594547540405,1523214803136704512,
1939262937765699854,Sun Jun 29 10:01:28 +0000 2025,0,gila ke botani pas weekend sm dengan bunuh diri,1939262937765699854,,,in,,0,0,0,https://x.com/undefined/status/1939262937765699854,1230218879823040512,
1939171577335292405,Sun Jun 29 09:59:38 +0000 2025,0,@KangManto123 Karena jika mengesahkan RUU perampasan aset sama aja dengan bunuh diri...,1939262475805045094,,KangManto123,in,,0,0,0,https://x.com/undefined/status/1939262475805045094,2558658043,
1939260355852779818,Sun Jun 29 09:51:13 +0000 2025,10,Lagi asik asik nunggu cucian tiba tiba ada yang teriak kalo ada yang mau lompat bunuh diri https://t.co/WmmSAZZDYu,1939260355852779818,https://pbs.twimg.com/media/GumjASaW0AA5r6w.jpg,,in,,0,3,1,https://x.com/undefined/status/1939260355852779818,1476912963713785856,
1939245055241572787,Sun Jun 29 09:38:09 +0000 2025,0,@44notherside bunuh diri,1939257069024301121,,44notherside,in,,0,1,0,https://x.com/undefined/status/1939257069024301121,1245259300957589504,
1939114517729861726,Sun Jun 29 09:36:52 +0000 2025,0,@kirawontmiss Napa pada bunuh diri semua kocak,1939256745790235008,,kirawontmiss,in,,0,0,0,https://x.com/undefined/status/1939256745790235008,1099248318197026816,
1939224653136122029,Sun Jun 29 09:24:05 +0000 2025,4,@Ary_PrasKe2 @Anak__Ogi @AntoniusCDN @BebySoSweet @Bersinar2023 @BiLLRaY2019 @ferdinand_mpu @HumorJonTampan @jhonsitorus_19 @kenhans03 @King_PWS_ Ah gimik doank. Presidenya sndri jga tersandra kasus mirage kok. Ya mana berani berlaku tegas trhdap org²nya jokowi sama sja bunuh diri partai gerindra klo smpe berani mencolek slh satu mentri titipan jokowi.,1939253527332954427,,Ary_PrasKe2,in,,0,1,3,https://x.com/undefined/status/1939253527332954427,1752586359209144320,
1936992049695457735,Sun Jun 29 09:17:08 +0000 2025,0,@0xbiyan Bagian dari takdir ketentuan Allah. Salah satu dari rukun iman yang wajib di yakini. Tauhid harus di kencengin agar tidak ada terbersit niat bunuh diri.,1939251780858368094,,maambuusdt,in,,0,0,0,https://x.com/undefined/status/1939251780858368094,1625016311528181760,
1939251339974115815,Sun Jun 29 09:15:23 +0000 2025,0,LRT ADUH GES KELEN MESTI BACA STEALING THE WIND DAN DENGERIN SYZ MAU BUNUH DIRI GARA2 YCR MAU MATI KENA TEMBAK NGELINDUNGIN DIA HAHAHAHHAHAHAHAHHA YEARNING NUNGGUIN YCR SIUMAN SAMBIL RECITING QUOTES YCR DI ZAMAN DAHULU (ANGGAP AJA DOANYA AVGIN),1939251339974115815,,,in,,0,1,0,https://x.com/undefined/status/1939251339974115815,2510115648,
1939248685164146821,Sun Jun 29 09:10:45 +0000 2025,0,kocakkk jo yuri aktingnya juga keren abis banjir air mata gw di scene haelmoni 149 bunuh diri liat Junhee nangis ikutan nangis,1939250171801723218,,lopejiwoo,in,,0,1,0,https://x.com/undefined/status/1939250171801723218,1870609969428742144,
1939249139147235663,Sun Jun 29 09:06:38 +0000 2025,0,g salah ko ekspekstasi gue aja yg ketinggian. S3 ga masuk akal bgt bnyak org tololnya kesel bgt hyunju dibikin mati konyol lebih kesel sm pemikiran nenek tua bangka itu bisa bisanya bunuh anaknya sendiri tapi ujungnya bunuh diri wkwk. banyak yg pelu di omongin sebenernya,1939249139147235663,,,in,,0,0,0,https://x.com/undefined/status/1939249139147235663,1147692896650321920,
1939191348349018494,Sun Jun 29 09:04:27 +0000 2025,0,@Omnireaderfess Bunuh diri sendiri &lt;3,1939248585977258465,,Omnireaderfess,in,,0,0,0,https://x.com/undefined/status/1939248585977258465,1427891005424996352,
1939240826405810551,Sun Jun 29 08:33:37 +0000 2025,0,Empat belas teroris tewas dalam operasi keamanan di Provinsi Khyber Pakhtunkhwa di Pakistan barat laut pascainsiden serangan bom bunuh diri terhadap konvoi militer demikian disampaikan oleh pihak militer Pakistan pada Sabtu (28/6). Selengkapnya https://t.co/KVioCP4EfQ https://t.co/pB3ORF9MxP,1939240826405810551,https://pbs.twimg.com/media/GumQ6DMW8AARtEC.jpg,,in,,0,0,0,https://x.com/undefined/status/1939240826405810551,3271146871,
1939223711661576632,Sun Jun 29 08:28:18 +0000 2025,0,@rasjawa Long weekend + minggu pertama libur sekolah lebih baik dipakai untuk berkunjung ke rumah orang tua main ke Lembang mah sama aja bunuh diri ,1939239491958644870,,rasjawa,in,,0,1,0,https://x.com/undefined/status/1939239491958644870,265191924,
1932416224526557640,Sun Jun 29 08:11:36 +0000 2025,0,@_rrarity PARAH ENAK KALI!! Seru abiezzz itu ceritanya menguak misteri di balik kembarannya yang diduga bunuh diri. Di Disney+ ada,1939235289383555334,,_rrarity,in,,0,0,0,https://x.com/undefined/status/1939235289383555334,1417910189278126080,
